Gen	MaxFit	AvgFit	Diversity
409	0.8200	0.8119	8.10e-03
410	0.8200	0.8145	5.50e-03
411	0.8200	0.8141	5.90e-03
412	0.8200	0.8153	4.70e-03
413	0.8300	0.8148	1.52e-02
414	0.8300	0.8196	1.04e-02
415	0.8400	0.8237	1.63e-02
416	0.8300	0.8180	1.20e-02
417	0.8300	0.8249	5.10e-03
418	0.8300	0.8243	5.70e-03
419	0.8300	0.8230	7.00e-03
420	0.8300	0.8241	5.90e-03
421	0.8300	0.8232	6.80e-03
422	0.8300	0.8224	7.60e-03
423	0.8400	0.8229	1.71e-02
424	0.8300	0.8123	1.77e-02
425	0.8300	0.8201	9.90e-03
426	0.8300	0.8245	5.50e-03
427	0.8300	0.8227	7.30e-03
428	0.8300	0.8239	6.10e-03
429	0.8300	0.8244	5.60e-03
430	0.8300	0.8251	4.90e-03
431	0.8400	0.8226	1.74e-02
432	0.8300	0.8188	1.12e-02
433	0.8300	0.8230	7.00e-03
434	0.8300	0.8241	5.90e-03
435	0.8400	0.8239	1.61e-02
436	0.8400	0.8247	1.53e-02
437	0.8400	0.8256	1.44e-02
438	0.8400	0.8354	4.60e-03
439	0.8500	0.8337	1.63e-02
440	0.8500	0.8396	1.04e-02
441	0.8600	0.8448	1.52e-02
442	0.8600	0.8442	1.58e-02
443	0.8600	0.8496	1.04e-02
444	0.8600	0.8536	6.40e-03
445	0.8600	0.8529	7.10e-03
446	0.8600	0.8546	5.40e-03
447	0.8600	0.8544	5.60e-03
448	0.8600	0.8546	5.40e-03
449	0.8600	0.8545	5.50e-03
450	0.8600	0.8537	6.30e-03
451	0.8600	0.8540	6.00e-03
452	0.8600	0.8533	6.70e-03
453	0.8600	0.8543	5.70e-03
454	0.8600	0.8538	6.20e-03
455	0.8700	0.8526	1.74e-02
456	0.8700	0.8530	1.70e-02
457	0.8800	0.8647	1.53e-02
458	0.8700	0.8639	6.10e-03
459	0.8700	0.8633	6.70e-03
460	0.8700	0.8637	6.30e-03
461	0.8700	0.8625	7.50e-03
462	0.8800	0.8639	1.61e-02
463	0.8700	0.8645	5.50e-03
464	0.8800	0.8630	1.70e-02
465	0.8700	0.8637	6.30e-03
466	0.8700	0.8652	4.80e-03
467	0.8700	0.8637	6.30e-03
468	0.8700	0.8638	6.20e-03
469	0.8700	0.8643	5.70e-03
470	0.8700	0.8641	5.90e-03
471	0.8700	0.8618	8.20e-03
472	0.8700	0.8628	7.20e-03
473	0.8800	0.8633	1.67e-02
474	0.8800	0.8689	1.11e-02
475	0.8800	0.8738	6.20e-03
476	0.8800	0.8745	5.50e-03
477	0.8800	0.8740	6.00e-03
478	0.8800	0.8743	5.70e-03
479	0.8800	0.8737	6.30e-03
480	0.8800	0.8751	4.90e-03
481	0.8900	0.8724	1.76e-02
482	0.8800	0.8733	6.70e-03
483	0.8800	0.8728	7.20e-03
484	0.8900	0.8731	1.69e-02
485	0.8900	0.8785	1.15e-02
486	0.8900	0.8828	7.20e-03
487	0.8900	0.8821	7.90e-03
488	0.8900	0.8840	6.00e-03
489	0.8900	0.8846	5.40e-03
490	0.9000	0.8838	1.62e-02
491	0.8900	0.8824	7.60e-03
492	0.8900	0.8820	8.00e-03
493	0.8900	0.8844	5.60e-03
494	0.8900	0.8838	6.20e-03
495	0.8900	0.8836	6.40e-03
496	0.8900	0.8816	8.40e-03
497	0.8900	0.8840	6.00e-03
498	0.8900	0.8827	7.30e-03
499	0.8900	0.8836	6.40e-03
500	0.8900	0.8844	5.60e-03
501	0.8900	0.8834	6.60e-03
502	0.8900	0.8814	8.60e-03
503	0.8900	0.8830	7.00e-03
504	0.8900	0.8827	7.30e-03
505	0.8900	0.8838	6.20e-03
506	0.8900	0.8822	7.80e-03
507	0.8900	0.8832	6.80e-03
508	0.8900	0.8818	8.20e-03
509	0.8900	0.8834	6.60e-03
510	0.8900	0.8829	7.10e-03
511	0.8900	0.8820	8.00e-03
512	0.8900	0.8832	6.80e-03
513	0.8900	0.8823	7.70e-03
514	0.8900	0.8823	7.70e-03
515	0.8900	0.8829	7.10e-03
516	0.8900	0.8833	6.70e-03
517	0.8900	0.8827	7.30e-03
518	0.8900	0.8842	5.80e-03
519	0.8900	0.8844	5.60e-03
520	0.8900	0.8833	6.70e-03
521	0.8900	0.8831	6.90e-03
522	0.8900	0.8844	5.60e-03
523	0.8900	0.8836	6.40e-03
524	0.9000	0.8840	1.60e-02
525	0.9000	0.8826	1.74e-02
526	0.9000	0.8932	6.80e-03
527	0.9000	0.8948	5.20e-03
528	0.9000	0.8930	7.00e-03
529	0.9000	0.8939	6.10e-03
530	0.9000	0.8941	5.90e-03
531	0.9000	0.8936	6.40e-03
532	0.9000	0.8922	7.80e-03
533	0.9000	0.8935	6.50e-03
534	0.9000	0.8934	6.60e-03
535	0.9000	0.8945	5.50e-03
536	0.9100	0.8917	1.83e-02
537	0.9000	0.8934	6.60e-03
538	0.9000	0.8939	6.10e-03
539	0.9000	0.8938	6.20e-03
540	0.9100	0.8922	1.78e-02
541	0.9000	0.8914	8.60e-03
542	0.9000	0.8935	6.50e-03
543	0.9000	0.8925	7.50e-03
544	0.9000	0.8922	7.80e-03
545	0.9100	0.8918	1.82e-02
546	0.9100	0.8948	1.52e-02
547	0.9100	0.9025	7.50e-03
548	0.9100	0.9039	6.10e-03
549	0.9100	0.9032	6.80e-03
550	0.9100	0.9036	6.40e-03
551	0.9100	0.9035	6.50e-03
552	0.9100	0.9042	5.80e-03
553	0.9100	0.9035	6.50e-03
554	0.9100	0.9040	6.00e-03
555	0.9100	0.9032	6.80e-03
556	0.9100	0.9029	7.10e-03
557	0.9100	0.9051	4.90e-03
558	0.9100	0.9035	6.50e-03
559	0.9100	0.9035	6.50e-03
560	0.9100	0.9043	5.70e-03
561	0.9100	0.9029	7.10e-03
562	0.9100	0.9013	8.70e-03
563	0.9100	0.9032	6.80e-03
564	0.9100	0.9023	7.70e-03
565	0.9200	0.9025	1.75e-02
566	0.9200	0.9035	1.65e-02
567	0.9200	0.9079	1.21e-02
568	0.9200	0.9131	6.90e-03
569	0.9200	0.9135	6.50e-03
570	0.9200	0.9129	7.10e-03
571	0.9200	0.9125	7.50e-03
572	0.9200	0.9128	7.20e-03
573	0.9200	0.9114	8.60e-03
574	0.9200	0.9135	6.50e-03
575	0.9200	0.9136	6.40e-03
576	0.9200	0.9136	6.40e-03
577	0.9200	0.9132	6.80e-03
578	0.9200	0.9143	5.70e-03
579	0.9200	0.9133	6.70e-03
580	0.9200	0.9134	6.60e-03
581	0.9200	0.9137	6.30e-03
582	0.9200	0.9130	7.00e-03
583	0.9200	0.9136	6.40e-03
584	0.9200	0.9127	7.30e-03
585	0.9200	0.9126	7.40e-03
586	0.9200	0.9144	5.60e-03
587	0.9200	0.9139	6.10e-03
588	0.9200	0.9140	6.00e-03
589	0.9200	0.9148	5.20e-03
590	0.9200	0.9124	7.60e-03
591	0.9200	0.9139	6.10e-03
592	0.9200	0.9120	8.00e-03
593	0.9200	0.9118	8.20e-03
594	0.9200	0.9137	6.30e-03
595	0.9200	0.9127	7.30e-03
596	0.9200	0.9125	7.50e-03
597	0.9200	0.9122	7.80e-03
598	0.9200	0.9139	6.10e-03
599	0.9200	0.9129	7.10e-03
600	0.9200	0.9130	7.00e-03
601	0.9200	0.9137	6.30e-03
602	0.9200	0.9127	7.30e-03
603	0.9200	0.9139	6.10e-03
604	0.9200	0.9125	7.50e-03
605	0.9200	0.9141	5.90e-03
606	0.9200	0.9142	5.80e-03
607	0.9200	0.9139	6.10e-03
608	0.9200	0.9155	4.50e-03
609	0.9200	0.9128	7.20e-03
610	0.9200	0.9139	6.10e-03
611	0.9200	0.9129	7.10e-03
612	0.9200	0.9141	5.90e-03
613	0.9200	0.9125	7.50e-03
614	0.9200	0.9123	7.70e-03
615	0.9200	0.9126	7.40e-03
616	0.9200	0.9139	6.10e-03
617	0.9200	0.9123	7.70e-03
618	0.9200	0.9133	6.70e-03
619	0.9200	0.9140	6.00e-03
620	0.9200	0.9131	6.90e-03
621	0.9200	0.9120	8.00e-03
622	0.9200	0.9137	6.30e-03
623	0.9200	0.9135	6.50e-03
624	0.9200	0.9129	7.10e-03
625	0.9200	0.9129	7.10e-03
626	0.9200	0.9117	8.30e-03
627	0.9300	0.9135	1.65e-02
628	0.9200	0.9081	1.19e-02
629	0.9200	0.9141	5.90e-03
630	0.9200	0.9135	6.50e-03
631	0.9200	0.9114	8.60e-03
632	0.9200	0.9139	6.10e-03
633	0.9200	0.9130	7.00e-03
634	0.9200	0.9147	5.30e-03
635	0.9200	0.9136	6.40e-03
636	0.9200	0.9132	6.80e-03
637	0.9200	0.9137	6.30e-03
638	0.9200	0.9124	7.60e-03
639	0.9200	0.9144	5.60e-03
640	0.9200	0.9134	6.60e-03
641	0.9200	0.9129	7.10e-03
642	0.9200	0.9132	6.80e-03
643	0.9200	0.9134	6.60e-03
644	0.9200	0.9147	5.30e-03
645	0.9200	0.9126	7.40e-03
646	0.9200	0.9127	7.30e-03
647	0.9200	0.9137	6.30e-03
648	0.9200	0.9134	6.60e-03
649	0.9200	0.9123	7.70e-03
650	0.9200	0.9119	8.10e-03
651	0.9200	0.9130	7.00e-03
652	0.9200	0.9137	6.30e-03
653	0.9200	0.9135	6.50e-03
654	0.9200	0.9129	7.10e-03
655	0.9200	0.9124	7.60e-03
656	0.9200	0.9133	6.70e-03
657	0.9200	0.9120	8.00e-03
658	0.9200	0.9129	7.10e-03
659	0.9200	0.9139	6.10e-03
660	0.9200	0.9135	6.50e-03
661	0.9200	0.9131	6.90e-03
662	0.9200	0.9132	6.80e-03
663	0.9200	0.9125	7.50e-03
664	0.9200	0.9132	6.80e-03
665	0.9200	0.9131	6.90e-03
666	0.9200	0.9128	7.20e-03
667	0.9200	0.9123	7.70e-03
668	0.9200	0.9123	7.70e-03
669	0.9200	0.9140	6.00e-03
670	0.9200	0.9139	6.10e-03
671	0.9200	0.9127	7.30e-03
672	0.9200	0.9127	7.30e-03
673	0.9200	0.9131	6.90e-03
674	0.9200	0.9129	7.10e-03
675	0.9200	0.9127	7.30e-03
676	0.9200	0.9135	6.50e-03
677	0.9200	0.9143	5.70e-03
678	0.9200	0.9137	6.30e-03
679	0.9200	0.9143	5.70e-03
680	0.9200	0.9135	6.50e-03
681	0.9200	0.9125	7.50e-03
682	0.9200	0.9133	6.70e-03
683	0.9200	0.9143	5.70e-03
684	0.9200	0.9139	6.10e-03
685	0.9200	0.9121	7.90e-03
686	0.9200	0.9120	8.00e-03
687	0.9200	0.9129	7.10e-03
688	0.9200	0.9133	6.70e-03
689	0.9200	0.9136	6.40e-03
690	0.9200	0.9126	7.40e-03
691	0.9200	0.9137	6.30e-03
692	0.9200	0.9139	6.10e-03
693	0.9200	0.9148	5.20e-03
694	0.9200	0.9134	6.60e-03
695	0.9200	0.9130	7.00e-03
696	0.9200	0.9128	7.20e-03
697	0.9200	0.9127	7.30e-03
698	0.9200	0.9120	8.00e-03
699	0.9200	0.9123	7.70e-03
700	0.9200	0.9114	8.60e-03
701	0.9200	0.9143	5.70e-03
702	0.9200	0.9124	7.60e-03
703	0.9200	0.9133	6.70e-03
704	0.9200	0.9124	7.60e-03
705	0.9200	0.9144	5.60e-03
706	0.9300	0.9146	1.54e-02
707	0.9200	0.9128	7.20e-03
708	0.9200	0.9137	6.30e-03
709	0.9200	0.9133	6.70e-03
710	0.9200	0.9124	7.60e-03
