Gen	FittestString____	MaxFit	AvgFit	Diversity
271	ERHqifjCMOYhGscbNk	0.0000	0.0000	2.12e-21
272	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
273	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
274	ERHqifjCyOYhWscbNk	0.0000	0.0000	2.12e-21
275	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
276	ERHqifjCyOYhWscbNk	0.0000	0.0000	2.12e-21
277	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
278	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
279	ERHqifjCyOYhGScbNk	0.0000	0.0000	2.12e-21
280	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
281	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
282	ERHqifbtyOYhGScbNk	0.0000	0.0000	2.12e-21
283	ERHqifjCyOYhGScbNk	0.0000	0.0000	2.12e-21
284	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
285	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
286	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
287	ER qifjCyOYhWScbNk	0.0556	0.0003	5.53e-02
288	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
289	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
290	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
291	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
292	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
293	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
294	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
295	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
296	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
297	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
298	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
299	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
300	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
301	ERRqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
302	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
303	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
304	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
305	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
306	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
307	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
308	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
309	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
310	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
311	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
312	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
313	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
314	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
315	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
316	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
317	ExHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
